iter	Passed	Remaining
476	648	710
477	649	708
478	650	707
479	650	704
480	651	702
481	652	700
482	652	698
483	653	696
484	654	694
485	655	693
486	656	691
487	658	690
488	659	689
489	661	688
490	661	686
491	662	684
492	663	682
493	664	680
494	665	678
495	666	676
496	666	674
497	667	672
498	668	670
499	669	669
500	669	667
501	670	665
502	672	664
503	674	663
504	675	661
505	675	659
506	676	658
507	677	656
508	678	654
509	679	652
510	680	650
511	680	648
512	681	647
513	682	645
514	683	643
515	684	641
516	684	639
517	686	638
518	687	637
519	689	636
520	691	635
521	692	633
522	693	632
523	694	630
524	695	628
525	696	627
526	696	625
527	697	623
528	698	621
529	699	620
530	700	618
531	701	616
532	702	615
533	704	614
534	706	613
535	706	611
536	707	610
537	708	608
538	709	606
539	710	604
540	711	603
541	712	602
542	713	600
543	714	598
544	714	596
545	715	595
546	716	593
547	718	592
548	720	591
549	721	590
550	722	588
551	723	586
552	724	585
553	725	583
554	726	582
555	727	580
556	728	579
557	729	577
558	729	575
559	730	574
560	732	573
561	734	572
562	735	570
563	736	569
564	737	567
565	738	566
566	739	564
567	740	563
568	741	561
569	742	560
570	743	558
571	744	557
572	745	555
573	747	554
574	748	553
575	750	552
576	751	551
577	752	549
578	753	547
579	754	546
580	755	544
581	756	543
582	757	541
583	758	540
584	759	538
585	759	536
586	760	535
587	761	533
588	762	532
589	764	531
590	765	530
591	766	528
592	767	527
593	768	525
594	769	524
595	770	522
596	771	520
597	772	519
598	772	517
599	773	515
600	774	514
601	775	512
602	776	511
603	778	510
604	780	509
605	781	507
606	782	506
607	783	504
608	784	503
609	785	501
610	785	500
611	787	499
612	788	497
613	789	496
614	789	494
615	790	492
616	791	491
617	792	490
618	794	489
619	796	487
620	797	486
621	798	484
622	798	483
623	799	481
624	801	480
625	801	479
626	802	477
627	803	475
628	804	474
629	804	472
630	805	471
631	806	469
632	808	468
633	810	467
634	811	466
635	812	465
636	813	463
637	814	462
638	816	461
639	816	459
640	817	457
641	818	456
642	819	454
643	820	453
644	820	451
645	822	450
646	823	449
647	825	448
648	826	446
649	827	445
650	827	443
651	828	442
652	829	440
653	830	439
654	831	437
655	832	436
656	832	434
657	833	433
658	834	431
659	835	430
660	835	428
661	836	427
662	839	426
663	840	425
664	841	424
665	843	422
666	844	421
667	845	419
668	846	418
669	847	417
670	847	415
671	848	414
672	849	412
673	850	411
674	851	409
675	852	408
676	853	407
677	855	406
678	856	404
679	857	403
680	858	402
681	858	400
682	859	399
683	861	397
684	862	396
685	863	395
686	864	393
687	864	392
688	865	390
689	866	389
690	868	388
691	870	387
692	871	386
693	872	384
694	873	383
695	873	381
696	874	380
697	875	378
698	876	377
699	877	375
700	877	374
701	878	373
702	879	371
703	880	370
704	882	369
705	883	367
706	884	366
707	886	365
708	887	364
709	888	362
710	889	361
711	890	360
712	890	358
713	891	357
714	893	356
715	894	354
716	895	353
717	896	352
718	898	351
719	900	350
720	901	348
721	901	347
722	902	345
723	903	344
724	904	343
725	905	341
726	906	340
727	907	339
728	908	337
729	909	336
730	910	334
731	911	333
732	912	332
733	913	331
734	915	330
735	916	328
736	917	327
737	918	325
738	918	324
739	920	323
740	920	321
741	921	320
742	922	319
743	923	317
744	924	316
745	924	314
746	925	313
747	926	312
748	928	311
749	930	310
750	930	308
751	931	307
752	932	305
753	933	304
754	934	303
755	934	301
756	935	300
757	936	299
758	937	297
759	938	296
760	939	295
761	940	293
762	941	292
763	943	291
764	944	290
765	946	288
766	946	287
767	947	286
768	948	284
769	949	283
770	950	282
771	951	280
772	951	279
773	952	278
774	953	276
775	953	275
776	954	273
777	955	272
778	956	271
779	957	270
780	959	269
781	960	267
782	961	266
783	962	265
784	963	263
785	964	262
786	965	261
787	966	259
788	966	258
789	967	257
790	968	255
791	968	254
792	969	253
793	970	251
794	971	250
795	972	249
796	973	248
797	975	246
798	976	245
799	977	244
800	978	243
801	979	241
802	979	240
803	980	239
804	981	237
805	982	236
806	982	235
807	983	233
808	984	232
809	985	231
810	985	229
811	986	228
812	987	227
813	988	225
814	990	224
815	990	223
816	991	222
817	992	220
818	993	219
819	994	218
820	995	217
821	996	215
822	996	214
823	997	213
824	998	211
825	999	210
826	999	209
827	1000	207
828	1001	206
829	1002	205
830	1003	204
831	1005	202
832	1005	201
833	1006	200
834	1007	199
835	1008	197
836	1009	196
837	1010	195
838	1011	194
839	1012	192
840	1013	191
841	1014	190
842	1015	189
843	1017	188
844	1018	186
845	1019	185
846	1020	184
847	1021	183
848	1022	181
849	1023	180
850	1024	179
851	1025	178
852	1026	176
853	1027	175
854	1028	174
855	1029	173
856	1030	171
857	1031	170
858	1032	169
859	1033	168
860	1035	167
861	1036	165
862	1037	164
863	1038	163
864	1039	162
865	1040	160
866	1041	159
867	1042	158
868	1043	157
869	1044	156
870	1045	154
871	1046	153
872	1047	152
873	1048	151
874	1050	150
875	1051	148
876	1052	147
877	1053	146
878	1054	145
879	1055	143
880	1056	142
881	1057	141
882	1057	140
883	1058	138
884	1059	137
885	1060	136
886	1061	135
887	1062	134
888	1063	132
889	1065	131
890	1066	130
891	1067	129
892	1068	128
893	1069	126
894	1070	125
895	1071	124
896	1072	123
897	1073	121
898	1074	120
899	1075	119
900	1076	118
901	1077	117
902	1078	115
903	1080	114
904	1081	113
905	1082	112
906	1083	111
907	1084	109
908	1086	108
909	1087	107
910	1088	106
911	1089	105
912	1090	103
913	1092	102
914	1093	101
915	1094	100
916	1095	99
917	1097	97
918	1098	96
919	1098	95
920	1099	94
921	1100	93
922	1101	91
923	1102	90
924	1103	89
925	1103	88
926	1104	86
927	1106	85
928	1107	84
929	1108	83
930	1109	82
931	1110	81
932	1111	79
933	1112	78
934	1113	77
935	1114	76
936	1114	74
937	1115	73
938	1116	72
939	1117	71
940	1118	70
941	1119	68
942	1121	67
943	1121	66
944	1123	65
945	1124	64
946	1126	63
947	1127	61
948	1127	60
949	1128	59
950	1130	58
951	1131	57
952	1132	55
953	1133	54
954	1134	53
955	1135	52
956	1136	51
957	1137	49
958	1138	48
959	1139	47
960	1141	46
961	1142	45
962	1144	43
963	1144	42
964	1145	41
965	1147	40
966	1149	39
967	1150	38
968	1150	36
969	1151	35
970	1152	34
971	1153	33
972	1154	32
973	1156	30
974	1157	29
975	1158	28
976	1159	27
977	1160	26
978	1162	24
979	1164	23
980	1165	22
981	1166	21
982	1167	20
983	1169	19
984	1170	17
985	1171	16
986	1173	15
987	1174	14
988	1175	13
989	1176	11
990	1177	10
991	1178	9
992	1179	8
993	1180	7
994	1181	5
995	1182	4
996	1183	3
997	1184	2
998	1185	1
999	1186	0
